2021-05-19 11:08:55,445 [http-nio-8080-exec-3] [INFO ] [API-FILTER] Verifying JWT		(com.cefriel.coneyapi.jwt.JwtRequestFilter: com.cefriel.coneyapi.jwt.JwtRequestFilter.doFilterInternal(JwtRequestFilter.java:33))
2021-05-19 11:08:55,449 [http-nio-8080-exec-3] [WARN ] JWT Token format is not valid		(com.cefriel.coneyapi.jwt.JwtRequestFilter: com.cefriel.coneyapi.jwt.JwtRequestFilter.doFilterInternal(JwtRequestFilter.java:47))
2021-05-19 11:08:55,450 [http-nio-8080-exec-3] [INFO ] [API-FILTER] username set: null		(com.cefriel.coneyapi.jwt.JwtRequestFilter: com.cefriel.coneyapi.jwt.JwtRequestFilter.doFilterInternal(JwtRequestFilter.java:64))
2021-05-19 11:08:55,451 [http-nio-8080-exec-3] [INFO ] -anonymousUser-		(com.cefriel.coneyapi.controller.ConversationController: com.cefriel.coneyapi.controller.ConversationController.saveConversation(ConversationController.java:293))
2021-05-19 11:08:55,484 [http-nio-8080-exec-3] [INFO ] [UTILS] JSON Object successfully versioned to file at: '/opt/coney-data/versions/RateYourProject 1.0 - chat (unpublished)/RateYourProject 1.0 - chat (unpublished)202105191108.txt'		(com.cefriel.coneyapi.utils.Utils: com.cefriel.coneyapi.utils.Utils.saveJsonToFile(Utils.java:80))
2021-05-19 11:08:55,493 [http-nio-8080-exec-3] [INFO ] [UTILS] JSON Object successfully copied to file at: '/opt/coney-data/RateYourProject 1.0 - chat (unpublished).txt'		(com.cefriel.coneyapi.utils.Utils: com.cefriel.coneyapi.utils.Utils.saveJsonToFile(Utils.java:102))
2021-05-19 11:08:55,508 [http-nio-8080-exec-3] [INFO ] [CONVERSATION] Conversation correctly overwritten 		(com.cefriel.coneyapi.controller.ConversationController: com.cefriel.coneyapi.controller.ConversationController.saveConversation(ConversationController.java:368))
2021-05-19 11:08:55,509 [http-nio-8080-exec-3] [INFO ] [CONVERSATION] Conversation correctly saved		(com.cefriel.coneyapi.controller.ConversationController: com.cefriel.coneyapi.controller.ConversationController.saveConversation(ConversationController.java:390))
2021-05-19 13:17:31,935 [localhost-startStop-1] [INFO ] Starting ConeyApiApplication v0.1 on 8ffbf7f288b1 with PID 1 (/usr/local/tomcat/webapps/coney-api/WEB-INF/classes started by root in /usr/local/tomcat)		(org.springframework.boot.StartupInfoLogger: org.springframework.boot.StartupInfoLogger.logStarting(StartupInfoLogger.java:50))
2021-05-19 13:17:31,939 [localhost-startStop-1] [DEBUG] Running with Spring Boot v2.1.4.RELEASE, Spring v5.1.6.RELEASE		(org.springframework.boot.StartupInfoLogger: org.springframework.boot.StartupInfoLogger.logStarting(StartupInfoLogger.java:53))
2021-05-19 13:17:31,946 [localhost-startStop-1] [INFO ] No active profile set, falling back to default profiles: default		(org.springframework.boot.SpringApplication: org.springframework.boot.SpringApplication.logStartupProfileInfo(SpringApplication.java:675))
2021-05-19 13:17:40,920 [localhost-startStop-1] [INFO ] Started ConeyApiApplication in 9.794 seconds (JVM running for 14.773)		(org.springframework.boot.StartupInfoLogger: org.springframework.boot.StartupInfoLogger.logStarted(StartupInfoLogger.java:59))
2021-05-19 13:17:41,201 [localhost-startStop-1] [DEBUG] Filter 'jwtRequestFilter' configured for use		(org.springframework.web.filter.GenericFilterBean: org.springframework.web.filter.GenericFilterBean.init(GenericFilterBean.java:241))
2021-05-19 21:24:39,010 [localhost-startStop-1] [INFO ] Starting ConeyApiApplication v0.1 on 8ffbf7f288b1 with PID 1 (/usr/local/tomcat/webapps/coney-api/WEB-INF/classes started by root in /usr/local/tomcat)		(org.springframework.boot.StartupInfoLogger: org.springframework.boot.StartupInfoLogger.logStarting(StartupInfoLogger.java:50))
2021-05-19 21:24:39,018 [localhost-startStop-1] [DEBUG] Running with Spring Boot v2.1.4.RELEASE, Spring v5.1.6.RELEASE		(org.springframework.boot.StartupInfoLogger: org.springframework.boot.StartupInfoLogger.logStarting(StartupInfoLogger.java:53))
2021-05-19 21:24:39,022 [localhost-startStop-1] [INFO ] No active profile set, falling back to default profiles: default		(org.springframework.boot.SpringApplication: org.springframework.boot.SpringApplication.logStartupProfileInfo(SpringApplication.java:675))
2021-05-19 21:24:48,231 [localhost-startStop-1] [INFO ] Started ConeyApiApplication in 10.208 seconds (JVM running for 16.073)		(org.springframework.boot.StartupInfoLogger: org.springframework.boot.StartupInfoLogger.logStarted(StartupInfoLogger.java:59))
2021-05-19 21:24:48,703 [localhost-startStop-1] [DEBUG] Filter 'jwtRequestFilter' configured for use		(org.springframework.web.filter.GenericFilterBean: org.springframework.web.filter.GenericFilterBean.init(GenericFilterBean.java:241))
